State,District,Block/Tehsil,Village,Salinity - No.,Salinity - PL,Dried up - No.,Dried up - PL,Destroyed beyond repair - No.,Destroyed beyond repair - PL,Sea water intrusion  - No.,Sea water intrusion  - PL,Industrial effluents - No.,Industrial effluents - PL,Availability of Major/Medium Irrigation Projects  - No.,Availability of Major/Medium Irrigation Projects  - PL,Other reasons - No.,Other reasons - PL
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,Big Lapati,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,Tapoiming,0,0,0,0,1,0.4,1,0.4,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Agali,0,0,18,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Akkagaladevarahalli,0,0,10,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Hulikeradevarahalli,0,0,29,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Inagalore,0,0,31,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Kodihalli,0,0,25,0.58,0,0,0,0,6,1.75,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Madhudi,0,0,15,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Narasambudi,0,0,21,0.48,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,P. Byadigera,0,0,25,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Ravudi,0,0,25,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,0,0,50,0,24,0,1,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,0,11,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Chinaganipalle,0,0,8,0.6,38,0.4,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,0,0,0,22,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Edigavaripalle,0,0,1,0,4,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Jowkalakothapalle,0,0,0,0,41,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Karinireddipalle,0,0,0,0,19,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Kassamudram,0,0,0,0,18,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Lokojipalle,0,0,0,0,43,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Mohammadabad,0,0,0,0,43,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Pulikuntlapalle,0,0,0,0,21,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Ramanathapuram,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Thummala,0,0,0,0,62,0,0,0,0,0,0,0,0,0
